model,make,year,number_seats,weight_in_kg,price_in_euro,ride,current_timestamp,ambient_light_level_in_lux,fuel_level_in_percent,tire_pressure,acceleration,speed,engine_temperature,engine_rpm,engine_oil_pressure,cruise_control,cruise_control_speed
F-Type,Jaguar,2019,2,1665,79213,0,1,9499,0.9274520625929501,2.5,1.8768295701713846,1,92.4738462155455,1850,95.58234949840795,False,
F-Type,Jaguar,2019,2,1665,79213,0,2,9467,0.9124520625929501,2.5,10.0,11,99.27581847098786,6349,176.1539637382495,False,
F-Type,Jaguar,2019,2,1665,79213,0,3,9428,,2.5,10.0,21,100.015165521796,6796,175.77409547682592,False,
F-Type,Jaguar,2019,2,1665,79213,0,4,9354,,2.5,-1.8239895916580746,19,85.0,3119,70.36960931894941,False,
F-Type,Jaguar,2019,2,1665,79213,0,5,9307,,2.5,-4.705115583500398,14,85.0,2955,82.16633651671718,False,
F-Type,Jaguar,2019,2,1665,79213,0,6,9292,,2.5,0.2766829502034751,14,86.40097609225126,4275,87.08590879197467,False,
F-Type,Jaguar,2019,2,1665,79213,0,7,9221,,2.5,-6.880144329799444,7,85.0,1698,68.32290714511063,False,
F-Type,Jaguar,2019,2,1665,79213,0,8,9191,,2.5,-5.544012660472019,1,85.0,3530,124.10116577636272,False,
F-Type,Jaguar,2019,2,1665,79213,0,9,9124,0.84745206259295,2.5,1.2298563601401247,2,91.21409826060741,3406,106.6302232699039,False,
F-Type,Jaguar,2019,2,1665,79213,0,10,9087,0.83245206259295,2.5,10.0,12,96.06196695148807,6118,197.29325937622116,False,
F-Type,Jaguar,2019,2,1665,79213,0,11,9065,0.81745206259295,2.5,10.0,22,97.76092192058513,7000,200.0,False,
F-Type,Jaguar,2019,2,1665,79213,0,12,9033,0.80245206259295,2.5,9.00226955353513,31,97.38808724176941,5143,142.82627327929507,False,
F-Type,Jaguar,2019,2,1665,79213,0,13,8952,0.78745206259295,2.5,7.290948729723014,38,94.45997474118047,4805,91.639386580126,False,
F-Type,Jaguar,2019,2,1665,79213,0,14,8873,0.77245206259295,2.5,10.0,48,100.08940099874866,6655,164.52506822766946,False,
F-Type,Jaguar,2019,2,1665,79213,0,15,8807,0.75745206259295,2.5,10.0,58,102.39220098940524,7000,195.37280938465162,False,
F-Type,Jaguar,2019,2,1665,79213,0,16,8764,0.7424520625929499,2.5,10.0,68,98.30250354921402,6882,165.76428247105335,False,
F-Type,Jaguar,2019,2,1665,79213,0,17,8670,0.7274520625929499,2.5,10.0,78,97.49607517778658,7000,200.0,False,
F-Type,Jaguar,2019,2,1665,79213,0,18,8650,0.7124520625929499,2.5,3.68795567355013,81,85.39424129618581,2691,75.43528523326576,False,
F-Type,Jaguar,2019,2,1665,79213,0,19,8639,0.7074520625929499,2.5,-0.27241472496708496,80,85.0,3831,98.88860980947382,False,
F-Type,Jaguar,2019,2,1665,79213,0,20,8616,0.6924520625929499,2.5,1.616205249380403,81,88.06415824864278,5629,125.91393288441047,False,
F-Type,Jaguar,2019,2,1665,79213,0,21,8603,0.6874520625929499,2.5,-4.751245677413604,76,85.0,800,20.67830851657085,False,
F-Type,Jaguar,2019,2,1665,79213,0,22,8561,0.6824520625929499,2.5,-8.74095695930341,67,85.0,800,26.801314703547526,False,
F-Type,Jaguar,2019,2,1665,79213,0,23,8557,0.6774520625929499,2.5,-4.027019184492331,62,85.0,3189,76.67952167873987,False,
F-Type,Jaguar,2019,2,1665,79213,0,24,8537,0.6724520625929499,2.5,-10.0,52,85.0,800,37.52976984568272,False,
F-Type,Jaguar,2019,2,1665,79213,0,25,8534,0.6674520625929499,2.5,-8.623193748195488,43,85.0,1422,57.44493004906522,False,
F-Type,Jaguar,2019,2,1665,79213,0,26,8458,0.6624520625929499,2.5,-10.0,33,85.0,1551,54.37616267205629,False,
F-Type,Jaguar,2019,2,1665,79213,0,27,8409,0.6574520625929499,2.5,-10.0,23,85.0,1609,93.80233764270898,False,
F-Type,Jaguar,2019,2,1665,79213,0,28,8394,0.6524520625929499,2.5,-10.0,13,85.0,800,39.69763521819619,False,
F-Type,Jaguar,2019,2,1665,79213,0,29,8297,0.6474520625929499,2.5,-10.0,3,85.0,800,40.84466189825783,False,
F-Type,Jaguar,2019,2,1665,79213,0,30,8272,0.6424520625929498,2.5,-10.0,0,85.0,800,36.31892397779869,False,
F-Type,Jaguar,2019,2,1665,79213,0,31,8207,0.6374520625929498,2.5,-7.728396476450077,0,85.0,1894,58.4227543220267,False,
F-Type,Jaguar,2019,2,1665,79213,0,32,8143,0.6324520625929498,2.5,-2.8364808443671645,0,85.0,5326,96.81061362745662,False,
F-Type,Jaguar,2019,2,1665,79213,0,33,8118,0.6274520625929498,2.5,-2.932791800390564,0,85.0,1880,42.769697303794224,False,
F-Type,Jaguar,2019,2,1665,79213,0,34,8111,0.6224520625929498,2.5,-3.7943085820494646,0,85.0,3572,86.21120028978467,False,
F-Type,Jaguar,2019,2,1665,79213,0,35,8093,0.6174520625929498,2.5,-4.7642387751157775,0,85.0,2223,83.50725995267467,False,
F-Type,Jaguar,2019,2,1665,79213,0,36,7995,0.6024520625929498,2.5,0.3973060474532071,0,85.0,3932,100.4810923925319,False,
F-Type,Jaguar,2019,2,1665,79213,0,37,7992,0.5874520625929498,2.5,8.525647086286138,8,95.95864825297392,4642,107.89159159462672,False,
F-Type,Jaguar,2019,2,1665,79213,0,38,7959,0.5724520625929498,2.5,2.9724326025668564,10,93.51509219787899,3941,107.86739830653546,False,
F-Type,Jaguar,2019,2,1665,79213,0,39,7862,0.5674520625929498,2.5,-1.009526798902428,8,85.0,3773,116.08397159210212,False,
F-Type,Jaguar,2019,2,1665,79213,0,40,7838,0.5624520625929498,2.5,-3.9361565212161427,4,85.0,3286,94.3680951714142,False,
F-Type,Jaguar,2019,2,1665,79213,0,41,7836,0.5474520625929498,2.5,0.9008344088817521,4,86.14802236995368,5516,103.08321408955075,False,
F-Type,Jaguar,2019,2,1665,79213,0,42,7763,0.5424520625929498,2.5,-6.736483849077447,0,85.0,800,25.111077657319658,False,
F-Type,Jaguar,2019,2,1665,79213,0,43,7677,0.5374520625929498,2.5,-6.46427661449008,0,85.0,1462,45.46061236390714,False,
F-Type,Jaguar,2019,2,1665,79213,0,44,7658,0.5324520625929497,2.5,-3.0016556870279056,0,85.0,2320,38.94801729034275,False,
F-Type,Jaguar,2019,2,1665,79213,0,45,7641,0.5274520625929497,2.5,-5.98657035152012,0,85.0,1616,60.32494395630944,False,
F-Type,Jaguar,2019,2,1665,79213,0,46,7620,0.5224520625929497,2.5,-10.0,0,85.0,800,47.356548164898214,False,
F-Type,Jaguar,2019,2,1665,79213,0,47,7543,0.5174520625929497,2.5,-10.0,0,85.0,875,60.34793971930313,False,
Model S,Tesla,1995,5,2100,72520,1,1,5673,0.012161066918031097,2.5,-2.79729968114638,0,85.0,3031,114.1991701812199,False,
Model S,Tesla,1995,5,2100,72520,1,2,5620,1.0,2.5,-7.621402292484504,0,85.0,3043,47.78042145523261,False,
Model S,Tesla,1995,5,2100,72520,1,3,5570,0.995,2.5,-10.0,0,85.0,800,0.0,False,
Model S,Tesla,1995,5,2100,72520,1,4,5532,0.99,2.5,-9.532778866192674,0,85.0,1664,24.714399889096082,False,
Model S,Tesla,1995,5,2100,72520,1,5,5437,0.985,2.5,-5.2304454500624,0,85.0,2238,82.58247099190316,False,
Model S,Tesla,1995,5,2100,72520,1,6,5361,0.98,2.5,-5.432666075637077,0,85.0,1749,49.004469155337866,False,
