,score,salary,happiness,Age
0,80,141890.77185730607,61.0,62
1,47,130053.86049207527,80.0,71
2,56,102071.79465880242,40.0,67
3,37,90975.54030894785,21.0,27
4,70,109558.3687935838,41.0,77
5,24,108546.29261107044,60.0,46
6,12,41002.8377812414,1.0,74
7,21,,20.0,50
8,11,,20.0,34
9,42,171725.17200593458,100.0,61
10,86,163964.77036906383,81.0,70
11,3,,20.0,22
12,52,110012.60199850392,41.0,57
13,56,,1.0,60
14,5,90609.82027310134,40.0,66
15,35,113839.56997944292,41.0,58
16,64,141697.1098999958,61.0,75
17,47,101379.94119697253,40.0,43
18,61,143063.22883685358,61.0,51
19,41,146018.79127635903,80.0,26
20,10,103682.87743436018,21.0,78
21,77,170207.39551286778,81.0,78
22,15,42546.8120779123,1.0,66
23,99,156410.78403954208,81.0,34
24,3,73687.92876638958,20.0,33
25,60,127256.7669872238,80.0,27
26,82,145333.15230491175,61.0,62
27,99,150804.19623865254,81.0,58
28,92,140742.44349776738,80.0,66
29,41,80003.5017248836,20.0,54
30,11,91948.12270515144,40.0,79
31,55,113276.01474396035,60.0,43
32,31,132654.06971421785,80.0,25
33,73,136906.277167647,80.0,27
34,99,162887.37643158206,100.0,79
35,33,122941.59169283698,60.0,43
36,30,145492.9236374066,61.0,60
37,89,187625.68164030038,81.0,56
38,70,126187.47572729256,61.0,59
39,27,100699.94751118124,21.0,65
40,78,116837.87870931721,41.0,33
41,41,95850.4321142819,21.0,79
42,37,133372.8210067994,80.0,21
43,81,136983.50604045967,61.0,68
44,78,143986.54870229593,61.0,72
45,57,93784.56419087545,40.0,59
46,45,123303.49236578245,60.0,80
47,60,111851.06114879121,41.0,34
48,50,97697.47558993267,40.0,72
49,73,170010.97040810404,81.0,50
50,2,127147.94723750737,61.0,29
51,36,-48194.03176313208,1.0,30
52,87,183606.76445034792,100.0,25
53,42,110815.80872888156,41.0,33
54,43,89889.6532276469,40.0,27
55,61,136157.2832330949,61.0,42
56,30,,1.0,71
57,51,67489.89484417735,1.0,64
58,59,212333.33620356637,81.0,33
59,48,135709.8528392751,80.0,67
60,54,129149.30937294198,61.0,42
61,50,129499.66465547188,80.0,56
62,25,131063.97543183951,61.0,49
63,20,95325.29335076845,21.0,48
64,11,98432.56942682985,40.0,45
65,80,162645.4242358929,81.0,24
66,21,120923.48088168594,60.0,45
67,53,125544.3047432861,60.0,38
68,93,202732.6941807675,81.0,56
69,6,50734.88001817596,20.0,28
70,5,93055.54058185291,21.0,77
71,58,130529.26075629867,61.0,70
72,84,23954.226649514647,20.0,71
73,80,114303.28167867681,60.0,47
74,75,126530.21038156438,80.0,28
75,16,89324.7421951967,40.0,49
76,18,106055.50148864274,60.0,53
77,47,166491.68195144692,81.0,38
78,15,61885.45141132735,20.0,28
79,92,125978.9303376424,80.0,76
80,99,123608.38199214482,41.0,79
81,74,152975.1161621475,100.0,41
82,34,93618.11080356462,21.0,49
83,39,71408.90070657307,1.0,30
84,59,134553.5285032807,80.0,75
85,15,74566.64778400803,1.0,70
86,9,107095.88779710137,60.0,77
87,8,38678.67793272083,20.0,79
88,55,88225.51482487793,40.0,48
89,37,111891.20755518602,41.0,42
90,67,,20.0,39
91,63,148860.16753365804,100.0,80
92,47,122723.14966329202,41.0,71
93,77,128012.82243046342,61.0,32
94,86,125813.8240968402,80.0,72
95,62,127813.49389536693,61.0,25
96,39,98017.38005390772,40.0,35
97,63,147678.32165974556,80.0,64
98,61,133111.20088479389,61.0,78
99,23,77163.00684764625,20.0,52
100,50,349110.3324617566,,25
101,90,148002.7864567224,61.0,55
102,85,155937.3652092623,81.0,58
103,73,158540.22903272894,100.0,70
104,41,154596.4338118261,100.0,66
105,66,142823.5541742169,80.0,27
106,62,107107.14346287919,60.0,68
107,22,102500.08636950763,21.0,69
108,3,,1.0,46
109,79,140252.11679152068,61.0,57
110,43,89686.44389256618,40.0,48
111,56,93722.09163970558,40.0,55
112,40,49958.289785152825,1.0,54
113,55,135139.9137666644,61.0,27
114,20,121047.10415460827,60.0,48
115,53,91138.4260362346,21.0,60
116,66,114812.78793624487,41.0,45
117,23,27881.88172651289,20.0,77
118,10,130508.84876184388,61.0,56
119,92,157744.46009848086,100.0,23
120,7,335667.9451792444,100.0,45
121,15,111109.30255700985,60.0,71
122,99,178158.67788146692,81.0,57
123,37,82262.73014304167,20.0,23
124,33,,1.0,73
125,25,124716.72821931767,41.0,21
126,89,190093.6654265225,100.0,60
127,36,106264.62279052682,60.0,59
128,88,208300.8461613999,100.0,39
129,36,124830.76111696809,41.0,53
130,58,180706.90142319433,81.0,52
131,68,132515.69866622682,61.0,48
132,91,128805.6969118425,61.0,67
133,88,135185.97487085516,80.0,25
134,86,146699.31321374467,80.0,60
135,33,,1.0,48
136,65,138991.98791203427,80.0,23
137,90,145104.26670648166,61.0,71
138,62,160615.07241752627,81.0,44
139,57,97573.1167831786,21.0,79
140,5,63005.02723064388,20.0,53
141,94,34056.72611385897,20.0,36
142,31,149972.56878877434,81.0,59
143,50,80465.52554641549,20.0,42
144,0,96483.84161317915,21.0,52
145,35,,20.0,25
146,74,123354.45183282779,41.0,55
147,95,178200.09708812466,81.0,60
148,48,125165.30052896516,41.0,35
149,70,113593.35534203885,60.0,21
150,21,71852.49756741073,1.0,36
151,20,82130.14889301971,20.0,26
152,91,140712.33216415584,80.0,80
153,5,66912.82329954424,1.0,55
154,96,150757.10851427668,81.0,44
155,56,164790.96870853673,100.0,69
156,48,97792.08723095458,21.0,32
157,99,108242.93168982942,41.0,21
158,60,117691.69681902407,41.0,26
159,4,79084.89503904343,20.0,41
160,68,210560.0390640985,81.0,65
161,95,145002.3223057518,61.0,45
162,51,83939.60845497498,20.0,74
163,72,118202.608391124,41.0,77
164,62,124664.33309463438,60.0,22
165,6,114246.41545499089,60.0,34
166,14,105128.27461475597,21.0,35
167,17,-15632.662458444975,1.0,66
168,55,107174.20127550293,41.0,54
169,5,,1.0,73
170,92,149266.636721696,81.0,80
171,94,113925.4107221358,60.0,42
172,23,119071.11285107562,41.0,77
173,19,98050.83771569101,21.0,57
174,92,148680.22867549557,100.0,52
175,4,116587.65019752027,41.0,75
176,72,167654.9582768959,81.0,80
177,20,104608.18314467142,21.0,44
178,22,115897.35016980694,60.0,72
179,28,89092.78161388249,40.0,57
180,81,182263.29264498095,100.0,31
181,37,110261.57354280021,60.0,58
182,81,123307.30206184898,60.0,77
183,2,46687.04695367826,20.0,77
184,79,125642.9776603001,61.0,32
185,41,129340.3188878918,61.0,50
186,43,122246.0115416529,60.0,25
187,7,88053.63284366425,21.0,48
188,88,187776.47753542766,100.0,59
189,22,67767.92141136463,20.0,68
190,92,101603.00718236824,21.0,28
191,89,147784.70471265414,80.0,30
192,22,114598.75025942962,41.0,78
193,89,141065.0094835868,61.0,71
194,97,116722.43671023575,60.0,51
195,96,176016.1598405861,100.0,70
196,39,112720.9244202511,60.0,29
197,66,82093.90455239992,1.0,39
198,55,136939.82429159043,61.0,60
199,67,170033.079964607,81.0,37
200,72,167537.33733765082,81.0,40
201,89,103350.82104276176,21.0,36
202,30,142434.30571737615,80.0,48
203,62,128551.13199335478,80.0,30
204,5,108527.31507646508,60.0,43
205,76,122691.4345653762,41.0,34
206,96,160780.963988242,81.0,21
207,1,,1.0,48
