,score,salary,happiness,Age
0,80.0,141890.77185730607,61.0,62.0
1,47.0,130053.86049207528,80.0,71.0
2,56.0,102071.79465880242,40.0,67.0
3,37.0,90975.54030894784,21.0,27.0
4,70.0,109558.3687935838,41.0,77.0
5,24.0,108546.29261107044,60.0,46.0
6,12.0,41002.8377812414,1.0,74.0
7,21.0,77599.41834778697,20.0,50.0
8,11.0,77541.57718110582,20.0,34.0
9,42.0,171725.17200593458,100.0,61.0
10,86.0,163964.77036906383,81.0,70.0
11,3.0,77482.40756081144,20.0,22.0
12,52.0,110012.60199850392,41.0,57.0
13,56.0,55526.450187049806,1.0,60.0
14,5.0,90609.82027310134,40.0,66.0
15,35.0,113839.56997944292,41.0,58.0
16,64.0,141697.1098999958,61.0,75.0
17,47.0,101379.94119697252,40.0,43.0
18,61.0,143063.22883685358,61.0,51.0
19,41.0,146018.79127635903,80.0,26.0
20,10.0,103682.87743436018,21.0,78.0
21,77.0,170207.39551286778,81.0,78.0
22,15.0,42546.8120779123,1.0,66.0
23,99.0,156410.78403954208,81.0,34.0
24,3.0,73687.92876638958,20.0,33.0
25,60.0,127256.7669872238,80.0,27.0
26,82.0,145333.15230491175,61.0,62.0
27,99.0,150804.19623865254,81.0,58.0
28,92.0,140742.44349776738,80.0,66.0
29,41.0,80003.5017248836,20.0,54.0
30,11.0,91948.12270515144,40.0,79.0
31,55.0,113276.01474396036,60.0,43.0
32,31.0,132654.06971421785,80.0,25.0
33,73.0,136906.277167647,80.0,27.0
34,99.0,162887.37643158206,100.0,79.0
35,33.0,122941.59169283698,60.0,43.0
36,30.0,145492.9236374066,61.0,60.0
37,89.0,187625.6816403004,81.0,56.0
38,70.0,126187.47572729256,61.0,59.0
39,27.0,100699.94751118124,21.0,65.0
40,78.0,116837.8787093172,41.0,33.0
41,41.0,95850.4321142819,21.0,79.0
42,37.0,133372.8210067994,80.0,21.0
43,81.0,136983.50604045967,61.0,68.0
44,78.0,143986.54870229593,61.0,72.0
45,57.0,93784.56419087543,40.0,59.0
46,45.0,123303.49236578244,60.0,80.0
47,60.0,111851.0611487912,41.0,34.0
48,50.0,97697.47558993268,40.0,72.0
49,73.0,170010.97040810404,81.0,50.0
50,2.0,127147.94723750735,61.0,29.0
51,36.0,-48194.03176313208,1.0,30.0
52,87.0,183606.76445034792,100.0,25.0
53,42.0,110815.80872888156,41.0,33.0
54,43.0,89889.6532276469,40.0,27.0
55,61.0,136157.2832330949,61.0,42.0
56,30.0,54528.10598675071,1.0,71.0
57,51.0,67489.89484417735,1.0,64.0
58,59.0,212333.3362035664,81.0,33.0
59,48.0,135709.8528392751,80.0,67.0
60,54.0,129149.30937294198,61.0,42.0
61,50.0,129499.66465547188,80.0,56.0
62,25.0,131063.97543183951,61.0,49.0
63,20.0,95325.29335076844,21.0,48.0
64,11.0,98432.56942682984,40.0,45.0
65,80.0,162645.4242358929,81.0,24.0
66,21.0,120923.48088168594,60.0,45.0
67,53.0,125544.3047432861,60.0,38.0
68,93.0,202732.6941807675,81.0,56.0
69,6.0,50734.88001817596,20.0,28.0
70,5.0,93055.54058185293,21.0,77.0
71,58.0,130529.26075629868,61.0,70.0
72,84.0,23954.226649514647,20.0,71.0
73,80.0,114303.2816786768,60.0,47.0
74,75.0,126530.21038156438,80.0,28.0
75,16.0,89324.7421951967,40.0,49.0
76,18.0,106055.50148864274,60.0,53.0
77,47.0,166491.68195144692,81.0,38.0
78,15.0,61885.45141132735,20.0,28.0
79,92.0,125978.9303376424,80.0,76.0
80,99.0,123608.38199214482,41.0,79.0
81,74.0,152975.1161621475,100.0,41.0
82,34.0,93618.11080356462,21.0,49.0
83,39.0,71408.90070657307,1.0,30.0
84,59.0,134553.5285032807,80.0,75.0
85,15.0,74566.64778400803,1.0,70.0
86,9.0,107095.88779710136,60.0,77.0
87,8.0,38678.67793272083,20.0,79.0
88,55.0,88225.51482487793,40.0,48.0
89,37.0,111891.20755518602,41.0,42.0
90,67.0,79229.31235942745,20.0,39.0
91,63.0,148860.16753365804,100.0,80.0
92,47.0,122723.14966329202,41.0,71.0
93,77.0,128012.82243046342,61.0,32.0
94,86.0,125813.8240968402,80.0,72.0
95,62.0,127813.49389536692,61.0,25.0
96,39.0,98017.38005390772,40.0,35.0
97,63.0,147678.32165974556,80.0,64.0
98,61.0,133111.20088479389,61.0,78.0
99,23.0,77163.00684764625,20.0,52.0
100,50.0,349110.3324617566,100.0,25.0
101,90.0,148002.7864567224,61.0,55.0
102,85.0,155937.3652092623,81.0,58.0
103,73.0,158540.22903272894,100.0,70.0
104,41.0,154596.4338118261,100.0,66.0
105,66.0,142823.5541742169,80.0,27.0
106,62.0,107107.1434628792,60.0,68.0
107,22.0,102500.08636950764,21.0,69.0
108,3.0,54078.53520861101,1.0,46.0
109,79.0,140252.11679152068,61.0,57.0
110,43.0,89686.44389256618,40.0,48.0
111,56.0,93722.09163970558,40.0,55.0
112,40.0,49958.289785152825,1.0,54.0
113,55.0,135139.9137666644,61.0,27.0
114,20.0,121047.10415460829,60.0,48.0
115,53.0,91138.4260362346,21.0,60.0
116,66.0,114812.78793624487,41.0,45.0
117,23.0,27881.88172651289,20.0,77.0
118,10.0,130508.84876184388,61.0,56.0
119,92.0,157744.46009848086,100.0,23.0
120,7.0,335667.9451792444,100.0,45.0
121,15.0,111109.30255700984,60.0,71.0
122,99.0,178158.67788146692,81.0,57.0
123,37.0,82262.73014304167,20.0,23.0
124,33.0,54590.59674107822,1.0,73.0
125,25.0,124716.72821931768,41.0,21.0
126,89.0,190093.6654265225,100.0,60.0
127,36.0,106264.62279052682,60.0,59.0
128,88.0,208300.8461613999,100.0,39.0
129,36.0,124830.76111696807,41.0,53.0
130,58.0,180706.90142319436,81.0,52.0
131,68.0,132515.69866622682,61.0,48.0
132,91.0,128805.6969118425,61.0,67.0
133,88.0,135185.97487085516,80.0,25.0
134,86.0,146699.31321374467,80.0,60.0
135,33.0,54993.61820824938,1.0,48.0
136,65.0,138991.98791203427,80.0,23.0
137,90.0,145104.26670648166,61.0,71.0
138,62.0,160615.07241752627,81.0,44.0
139,57.0,97573.1167831786,21.0,79.0
140,5.0,63005.02723064388,20.0,53.0
141,94.0,34056.72611385897,20.0,36.0
142,31.0,149972.56878877434,81.0,59.0
143,50.0,80465.52554641549,20.0,42.0
144,0.0,96483.84161317916,21.0,52.0
145,35.0,78444.5246828971,20.0,25.0
146,74.0,123354.4518328278,41.0,55.0
147,95.0,178200.09708812466,81.0,60.0
148,48.0,125165.30052896516,41.0,35.0
149,70.0,113593.35534203883,60.0,21.0
150,21.0,71852.49756741073,1.0,36.0
151,20.0,82130.14889301971,20.0,26.0
152,91.0,140712.33216415584,80.0,80.0
153,5.0,66912.82329954424,1.0,55.0
154,96.0,150757.10851427668,81.0,44.0
155,56.0,164790.96870853673,100.0,69.0
156,48.0,97792.08723095458,21.0,32.0
157,99.0,108242.93168982942,41.0,21.0
158,60.0,117691.69681902407,41.0,26.0
