,score,salary,happiness,Age
0,42.0,104488.40494238434,40.0,46.0
1,58.0,129479.90451354191,61.0,47.0
2,48.0,135812.6276251444,61.0,51.0
3,39.0,116423.3943490532,41.0,51.0
4,47.0,134857.22146126896,61.0,47.0
5,53.0,113331.10417027216,41.0,46.0
6,47.0,101379.94119697252,40.0,43.0
7,54.0,117063.88858041471,60.0,48.0
8,55.0,107174.20127550291,41.0,54.0
9,54.0,136767.5419551517,61.0,57.0
10,54.0,129149.30937294198,61.0,42.0
11,60.0,126582.87245345868,61.0,57.0
12,52.0,110012.60199850392,41.0,57.0
13,46.0,120646.68739362384,60.0,54.0
14,43.0,110675.43896439792,41.0,41.0
15,44.0,121128.8199053665,41.0,48.0
16,47.0,107512.90928753234,41.0,40.0
17,37.0,111891.20755518602,41.0,42.0
18,64.0,135297.39120515846,61.0,44.0
19,61.0,143063.22883685358,61.0,51.0
20,35.0,98258.61892312812,40.0,56.0
21,68.0,132515.69866622682,61.0,48.0
22,61.0,136157.2832330949,61.0,42.0
23,41.0,129340.3188878918,61.0,50.0
24,58.0,102612.75060894906,40.0,51.0
25,43.0,105851.27184105254,40.0,39.0
26,43.0,89686.44389256618,40.0,48.0
27,35.0,113839.56997944292,41.0,58.0
28,55.0,136939.82429159043,61.0,60.0
29,47.0,131235.3055600344,61.0,41.0
30,57.0,145450.40460281793,61.0,54.0
31,54.0,117593.13225233767,41.0,43.0
32,43.0,94758.37241186784,40.0,41.0
33,39.0,122455.45766020168,60.0,50.0
34,39.0,95578.86109063358,40.0,41.0
35,44.0,89797.94579017375,40.0,55.0
36,37.0,97730.58755477142,40.0,60.0
37,53.0,125544.3047432861,60.0,38.0
38,43.0,125268.45116661236,41.0,46.0
39,63.0,114063.38452506256,60.0,54.0
40,48.0,113642.65568670748,41.0,38.0
41,55.0,113276.01474396036,60.0,43.0
42,38.0,123877.68982910045,60.0,47.0
43,59.0,119191.69787000834,41.0,52.0
44,56.0,93722.09163970558,40.0,55.0
45,36.0,124830.76111696807,41.0,53.0
46,36.0,95358.52492343956,40.0,60.0
47,50.0,120695.8090391642,41.0,40.0
48,27.0,112660.75630060871,41.0,55.0
49,40.0,139461.88904202462,61.0,45.0
50,42.0,110610.39988997288,41.0,64.0
51,60.0,95198.87440926164,40.0,52.0
52,56.0,89837.53259367018,40.0,51.0
53,41.0,112139.9687174895,41.0,64.0
54,54.0,110642.19469814372,41.0,37.0
55,28.0,114358.3482136404,41.0,43.0
56,55.0,88225.51482487793,40.0,48.0
57,59.0,122565.04145257988,41.0,47.0
58,32.0,96853.269705489,40.0,40.0
59,39.0,102682.7082812637,40.0,36.0
60,48.0,113136.61927235228,41.0,64.0
61,38.0,115768.082894548,60.0,52.0
62,70.0,126187.47572729256,61.0,59.0
63,43.0,88282.77471986493,40.0,59.0
64,58.0,118556.27975998622,60.0,63.0
65,53.0,86827.33461971914,40.0,46.0
66,53.0,101590.14626910877,40.0,63.0
67,43.0,124898.6566757735,41.0,60.0
68,40.0,92313.21021555812,40.0,38.0
69,28.0,121614.22911772186,41.0,48.0
70,34.0,120807.51293812788,41.0,40.0
71,38.0,125082.31387842176,41.0,41.0
72,59.0,114219.6184949849,41.0,39.0
73,32.0,105733.29865238124,40.0,63.0
74,55.0,114533.28465732124,60.0,38.0
75,23.0,107514.85939501128,41.0,48.0
76,23.0,102263.2224266128,40.0,53.0
77,57.0,93784.56419087543,40.0,59.0
78,65.0,110171.85928719798,60.0,56.0
79,39.0,98017.38005390772,40.0,35.0
80,65.0,146339.52674011714,61.0,40.0
81,63.0,122725.07639885235,41.0,51.0
82,33.0,98174.90280873598,40.0,64.0
83,70.0,111141.134853761,60.0,52.0
84,57.0,147569.52858310356,61.0,62.0
85,66.0,114812.78793624487,41.0,45.0
86,51.0,120665.62714088982,60.0,66.0
87,51.0,122615.6556312414,60.0,34.0
88,72.0,146186.89108192816,61.0,46.0
89,42.0,110815.80872888156,41.0,33.0
90,33.0,83824.44030769075,20.0,54.0
91,34.0,93618.11080356462,21.0,49.0
92,28.0,89092.78161388249,40.0,57.0
93,29.0,119328.11728000332,41.0,61.0
94,70.0,125268.41109311293,60.0,37.0
95,26.0,95250.9152905131,40.0,41.0
