,revenues,ebit,employees,market_cap,outstanding_shares,stock_price
500,44865661916.80795,21209121533.455563,39878.90423334313,611677779350.2762,5725425539.949332,106.66630054534048
501,50667808924.36321,48150106051.51545,68393.7239400727,752517663934.7705,346787938453.0447,2.161809394555804
502,44219138364.42178,22758305667.39794,46446.11356483615,325847870886.90314,2973683382.250302,109.96626483299296
503,48180383639.4556,29668525450.33321,79339.86193462144,228384878491.88336,7099838369.296683,31.913775328070027
504,52673161059.50232,37592634144.49348,,560638325857.2148,2952325135.617668,190.6959301976585
505,44539854357.84461,24541565672.766693,10902.640565655203,685306027388.845,29531602881.791363,24.215383992903543
506,48937780678.11548,36624948552.42877,11006.65809648882,805036005096.4459,5649920042.308965,142.1861193432811
507,42079789949.04236,41979983549.92462,85956.27133947553,388228073172.6982,7006002029.260755,54.75828936672362
508,41750482634.9367,20751959727.42569,117958.4782094984,411005600015.1679,10284395054.80753,41.15490008653882
509,49650198351.57399,21747289211.72673,,393878787907.5408,1394828362.7800686,281.69631136479813
510,42897805810.32025,23117410587.74496,164399.17901541706,590742654433.3068,6938095289.9301605,87.49017580273069
511,46529413840.09767,37282661604.89256,131349.399023578,599921175535.977,6685998262.989408,92.08318424480572
512,42349301850.56779,14579282077.599577,,297906995721.3069,5192249196.2484045,58.19926109879491
513,46598357736.10738,37113826573.109474,15994.691066590289,392120822151.45984,3101527204.275701,127.39990300714564
514,47138026530.36546,23116430242.39848,31823.283968730237,370221299931.058,2615432350.6793613,145.60034748934478
515,44216563217.43587,32878549032.667667,161428.29173318858,400056244223.6698,15534436817.87149,25.231903659204544
516,47518267423.22934,37781145141.244026,15647.679076839211,593894350872.1123,8121478801.357276,71.73969837115921
517,45753431489.24115,27588200877.64915,41515.53394700645,755938813475.5614,128436746202.62688,5.866201726068452
518,45875303000.87223,20284418780.24132,28446.926653897084,364996779542.88007,3972018394.947274,92.22103029864049
519,43752891931.19829,18112208893.609417,161681.38085833142,190785931014.1339,5031342550.06634,37.14776171393991
520,50893046194.31907,31492902078.125797,43049.99819562038,433008350309.2304,602471140121.7839,0.7180917716038843
521,43856887238.70225,29622984935.34821,87783.56980400387,547732510985.0725,2355912913.3208404,227.6516435644629
522,45290503831.79324,31129310071.86816,113618.95621748034,314156739695.1711,14234251430.286774,21.78943647524429
523,46913373442.70146,30423883910.19423,40167.50475317547,215619399685.6761,1691933758.3259382,126.49545649404648
524,46648404720.721886,18299266975.929157,193855.9937899857,378561558330.5013,7551048414.274155,49.54847553055228
525,45745266581.82386,31671756389.64032,88157.21437083912,177124476362.54337,2442790223.4548645,72.97925612341042
526,41522680095.59163,27959895579.768177,4825.43983259477,712565188091.2507,95744674529.53616,7.437947284493318
527,42688242372.2554,27629078034.95181,17424.861870968554,292047438861.8336,1422811844.1921668,205.84010044206863
528,48494964165.53038,32369867812.981705,214897.52550881548,526266932798.4817,7094160406.1062565,74.21962207249312
529,46051984588.9362,21990964908.2791,86090.26712101628,271256043965.31305,2356250717.475772,112.32810840041074
530,44039707825.14272,20024331196.222847,105430.80599101148,270384143379.49628,24095121113.791737,11.335502074971648
531,47344676695.1807,15371265210.312096,85962.68599822541,164040684233.39026,3094454208.267774,52.870806371212055
532,51362882522.77526,38704397845.49673,25354.661326367423,349604732542.39484,2893817325.655675,122.22399406129462
533,47889526798.37342,25255394281.61626,144797.79125933303,116797016248.02176,10279118296.988884,11.359033372173649
534,42997667821.26367,12736205802.301573,171383.94543709132,213333092125.51056,7078293741.289643,29.25169044320701
535,49258775673.06834,32275749705.298813,74699.22066181827,224678067332.2737,4411128948.526236,50.98626572645147
536,43121977218.88553,20706699029.68333,101359.52659565708,297215348998.10846,2301674111.900172,125.64958056686017
537,43131001413.207146,35978976742.10069,48677.43446313548,307734331451.49664,2811076732.0481954,110.59816885361252
538,48314757635.72457,31490738998.798004,294140.1079725027,643580688058.0914,5202058192.560132,120.17401381059386
539,47494116845.4239,31140524280.26432,132224.31160728427,248688474722.3201,1602843080.9760375,156.6793176886994
540,42736259147.06555,31047167993.099216,56530.478911891005,310218858004.7324,25424309970.75668,11.984399031851352
541,46754162363.639885,19006524562.97704,,222822280479.2972,2096326085.5998769,104.55085882308671
542,44749044375.33984,22433854900.92451,33724.14477130195,524181715928.4121,70418257495.96143,7.588980537198815
543,45510439248.746376,27290458316.38929,,360640004358.1125,5628584807.751726,64.14784363805485
544,45672165591.40876,31686331801.213604,105692.022345456,291663272309.6733,1298938736.3795176,221.4617168818272
545,42944090300.36572,33246426246.58265,71259.18664851811,754471410398.6569,11232910503.880129,64.59687620909226
546,43541924868.58494,32213264822.05128,22495.816381187124,548383386070.7115,10928702936.859596,50.782162229083056
547,43418837025.05176,25057167906.48671,185836.7054356975,408534848362.03766,3255316684.5093746,127.34713011456634
548,49453385860.038055,29748314687.76807,213121.42850704677,662972331082.7181,115154131221.97005,5.870472027319793
549,43258775392.6744,22453724654.201923,107500.92856821156,525952400255.64185,25229106603.74255,20.224213678448404
550,51536772984.951584,43652778271.87093,97398.35162038152,688135188943.8828,18678498228.65892,36.551856059249296
551,45612336861.85021,34023931723.40838,41923.85614345179,376169930679.4635,7341996103.724246,51.34326443056574
552,45832113855.035385,22705605854.745552,181230.5501244136,335137897350.76776,4354597038.282653,76.8669712917323
553,49711541960.56745,29872655033.038025,,330718848732.18915,20844865812.902023,16.221086093702592
554,48130448692.69238,16137355717.294426,55117.07844044665,293626195450.81104,8086025959.803675,36.456843703522125
555,51470293024.548775,36252030742.95022,124983.49263233738,463996237817.85767,392406160056.7087,1.187557373380842
556,45158594637.86877,42796744365.20949,71559.65619103024,557110593187.84,4531030596.296745,126.64829310906042
557,46682751353.45763,35607570357.94987,245041.3657572283,679282707144.3317,16204174916.015234,42.66226609274237
558,42124140161.0634,26372953160.033146,99617.18388488112,160153945664.48676,16665241634.929276,9.812901704910812
559,43347220039.83416,33792274930.85556,195568.7881052343,205221398133.15225,110766248231.25693,1.8680473680760803
560,49861258206.96958,33911364439.421597,,414563103135.5209,49080259595.43846,8.382275461501889
561,49432178369.00629,42972584722.004486,129523.21488070584,1234672016410.489,10096572244.188986,121.20790621732188
562,41730298286.33972,34598389629.829475,31793.411878165814,487986783845.2401,2575367238.032324,192.62222044107463
563,43843729278.51397,28595054511.12993,73134.60033592628,612933120137.2246,13906312793.720505,43.34492885930912
564,46794717164.78179,27562642593.170288,55839.37347151232,584478113750.8378,2600866582.2850294,219.2645127106246
565,46277228823.61567,27900650619.24004,76658.54171823445,284719643433.4398,3668227521.286998,79.184877733361
566,47992834780.24322,25368303119.165825,38540.273013901926,455708349290.281,6183598360.06565,76.331136817665
567,46428216723.062775,27229894661.014256,163196.00197905593,461120640414.009,5003046712.027017,90.08656607716225
568,42666587449.4962,27438447370.75151,178436.98074222385,295021139089.14,4162972245.2069993,73.87490251113434
569,45103930884.53864,33141100700.31806,162441.81522677955,357083591486.9501,67209405236.80355,5.336319216788445
570,46116871098.15393,29584003183.115067,143153.83917622548,700290387581.843,25682624520.974308,27.06250484313996
571,49435598145.493484,24166745463.66091,81986.7261631671,397352594289.0314,4550416893.393116,88.8671189087074
572,50567732771.92152,38808775356.5296,171603.21268667336,673201284089.0164,3844837165.10395,175.21096600562404
573,42563202665.95227,19940227880.76185,55320.5471237315,515196812507.1774,24461758858.063644,21.565790022405217
574,45981629215.791336,36862447356.64627,148109.87495371368,721216363843.9161,13059852157.359734,56.3589556097852
575,46992174614.045975,37599098056.74911,101356.28366983432,528010497030.9744,3075082325.563164,171.91974944706408
576,45504805973.87649,19758694557.90613,109589.4320993781,473158127771.092,3284366956.729777,144.4868335121983
577,46248425601.39301,41354381101.30103,99993.92445722062,733603118014.4708,4073515028.90309,178.70723672851938
578,44115736682.83865,34415409435.483536,261366.03778346864,411820467623.5342,4321633915.228244,98.3586968276884
579,48389452423.28379,38766952364.07704,80615.89720368777,1027967975893.3518,57638219798.33932,18.63376998479987
580,44605538227.14202,23699614586.285404,18463.643757302925,530146370673.7825,19156834656.675697,28.559535992774443
581,47344770536.79845,25799219779.139927,254695.96859316187,615430835180.0524,3118181045.218571,191.52111502615813
582,46108788180.76995,35238424962.93885,12023.112147005257,340763589065.9144,10878343825.938284,31.19488710318569
583,43762329760.41828,30374663435.323467,109699.603546307,460662286155.8856,3035622561.4026046,150.74172635046477
584,52337855972.39096,37885281389.84213,28192.76113494954,317883709862.00867,2238347762.938277,140.91640204129396
585,46997401343.31841,26470643171.92119,19954.29451538723,352828469147.6992,3221461063.749214,110.69128438556815
586,43723996908.79616,19051042098.55656,112510.32437771166,335880918186.3762,1607045431.1376464,210.8866787391389
